Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MINDTREE,EQ,31-Jan-19,890.45,900,902,880,893.9,894.05,892.33,1211981,1081482676,26225,146502,12.09
MINDTREE,EQ,01-Feb-19,894.05,894.05,904,885.2,904,899.65,896.75,803302,720357312.3,17671,201145,25.04
MINDTREE,EQ,04-Feb-19,899.65,904.05,906,875.05,887.45,889.8,891.78,1004135,895464705.6,23313,121955,12.15
MINDTREE,EQ,05-Feb-19,889.8,887,899.9,880,889,887.9,890.9,636345,566918777.9,13986,64379,10.12
MINDTREE,EQ,06-Feb-19,887.9,889.95,909.75,889.8,894.5,897.3,901.25,1574950,1419418901,39305,283203,17.98
MINDTREE,EQ,07-Feb-19,897.3,894.4,906.6,890,898,899.3,899.42,894663,804674652.7,19844,178957,20
MINDTREE,EQ,08-Feb-19,899.3,893.6,911,887,889.8,891.55,899.69,1367888,1230669105,46512,349813,25.57
MINDTREE,EQ,11-Feb-19,891.55,891.1,922,891.1,920,918.05,910.79,2245228,2044926103,83424,582792,25.96
MINDTREE,EQ,12-Feb-19,918.05,920.4,928.3,894,897.35,900.3,906.73,2255202,2044868295,40259,362401,16.07
MINDTREE,EQ,13-Feb-19,900.3,903,908.55,892.35,897,896.5,901.67,1109780,1000653749,24837,293522,26.45
MINDTREE,EQ,14-Feb-19,896.5,897.95,906.05,888.75,897,897,896.64,1021400,915824212.3,28166,234787,22.99
MINDTREE,EQ,15-Feb-19,897,899,903.9,889.1,894.7,895.5,896.04,786612,704839502.5,28699,262479,33.37
MINDTREE,EQ,18-Feb-19,895.5,893,899.9,864.4,868.8,868.6,877.76,980226,860400006.9,29336,200862,20.49
MINDTREE,EQ,19-Feb-19,868.6,868,893.5,859,888,887.3,882.16,2044293,1803389169,37729,576811,28.22
MINDTREE,EQ,20-Feb-19,887.3,888,907,879,903,903.95,894.38,1332001,1191321623,32305,302201,22.69
MINDTREE,EQ,21-Feb-19,903.95,906.95,906.95,888,898.75,898.8,896.74,1005712,901858268.2,26520,87272,8.68
MINDTREE,EQ,22-Feb-19,898.8,901,911,893.5,904,902.75,902.13,899553,811513361.3,28257,209742,23.32
MINDTREE,EQ,25-Feb-19,902.75,909.5,912.9,895.65,905.6,907.75,908.49,1018766,925542475.6,33176,310578,30.49
MINDTREE,EQ,26-Feb-19,907.75,899.1,916.2,889,905.9,907.25,904.14,1162090,1050687062,32012,392208,33.75
MINDTREE,EQ,27-Feb-19,907.25,910,915.9,888.55,897.15,898.7,903.24,1037003,936663542.9,26254,324690,31.31
MINDTREE,EQ,28-Feb-19,898.7,902,914.55,892,911,908.8,902.75,723715,653333882.3,17465,336406,46.48
MINDTREE,EQ,01-Mar-19,908.8,907.7,937.4,907.05,937,932.85,925.66,1630708,1509481430,32078,553838,33.96
MINDTREE,EQ,05-Mar-19,932.85,940.05,940.9,912.2,917.55,915.65,919.16,1251095,1149956086,49814,276641,22.11
MINDTREE,EQ,06-Mar-19,915.65,923.3,926.75,912.7,919,917.1,919.41,548075,503905257.6,14360,72805,13.28
MINDTREE,EQ,07-Mar-19,917.1,923.25,935.55,915.85,920,920.2,925.98,1263678,1170137381,24452,234967,18.59
MINDTREE,EQ,08-Mar-19,920.2,920,931.65,916.5,919.5,921.7,923.61,685000,632669835.8,20607,149277,21.79
MINDTREE,EQ,11-Mar-19,921.7,921.95,933.2,914.4,925.6,927,923.74,1046434,966635050.7,24697,137036,13.1
MINDTREE,EQ,12-Mar-19,927,934.7,936.55,911.6,922.9,917.4,920.21,1184350,1089845105,19184,450471,38.04
MINDTREE,EQ,13-Mar-19,917.4,931,937.65,918.2,925.5,923.9,926.95,2260365,2095253268,41873,595277,26.34
MINDTREE,EQ,14-Mar-19,923.9,934,953,923.3,952,950.1,940.66,2668845,2510473173,63860,712123,26.68
MINDTREE,EQ,15-Mar-19,950.1,958.95,964.7,940.35,947.4,947.4,949.72,2737367,2599732752,59410,610681,22.31
MINDTREE,EQ,18-Mar-19,947.4,969.95,969.95,953.2,963.4,962.5,960.96,2642886,2539708773,58138,515322,19.5
MINDTREE,EQ,19-Mar-19,962.5,975,976,938.15,944.5,943.3,950.01,5497681,5222845004,119508,1683770,30.63
MINDTREE,EQ,20-Mar-19,943.3,945,965.5,945,953.25,950.65,953.69,3174302,3027302108,62734,975745,30.74
MINDTREE,EQ,22-Mar-19,950.65,948,948,935.05,939.05,939,940.86,1451306,1365474192,37294,455714,31.4
MINDTREE,EQ,25-Mar-19,939,938.8,945,934,942,940.75,939.95,971520,913179840.8,23136,307282,31.63
MINDTREE,EQ,26-Mar-19,940.75,945,961.1,935.95,944.1,950.5,947.38,2125521,2013667284,51833,378087,17.79
MINDTREE,EQ,27-Mar-19,950.5,938.9,949.7,931,944.4,943.15,942.08,2185188,2058627318,69900,725704,33.21
MINDTREE,EQ,28-Mar-19,943.15,943.45,950.6,937.1,941.25,941.25,944,772947,729663399,24720,217661,28.16
MINDTREE,EQ,29-Mar-19,941.25,942.3,952,941.6,944.55,944.5,946.51,1120083,1060172205,48107,526245,46.98
MINDTREE,EQ,01-Apr-19,944.5,950.95,954,943.65,946,944.95,949.38,748695,710798983.3,22076,403628,53.91
MINDTREE,EQ,02-Apr-19,944.95,948.9,952.5,945.1,946.7,946.65,949.11,642877,610158666.2,22869,346990,53.97
MINDTREE,EQ,03-Apr-19,946.65,949,949.5,939,942.15,943.8,943.24,727804,686492678.1,20109,409584,56.28
MINDTREE,EQ,04-Apr-19,943.8,943,947,940.65,944.9,943.5,943.63,626426,591114104.4,17422,324254,51.76
MINDTREE,EQ,05-Apr-19,943.5,944.4,962.75,944,953,952.95,954.73,1274179,1216490922,38399,526743,41.34
MINDTREE,EQ,08-Apr-19,952.95,956,964.5,949.15,956.7,957.3,959.08,1233339,1182865934,37004,626236,50.78
MINDTREE,EQ,09-Apr-19,957.3,958.95,969.5,955.35,961.7,962.2,963.27,1182333,1138901232,32062,333345,28.19
MINDTREE,EQ,10-Apr-19,962.2,963,975,956,972.8,970.25,970.43,2078842,2017379672,37245,1144744,55.07
